id,question_id,user_id,description,created_at
460,4,164,4,"2016-08-13 19:20:22"
461,5,164,1,"2016-08-13 19:20:22"
462,6,164,3,"2016-08-13 19:20:22"
463,7,164,4,"2016-08-13 19:20:22"
464,12,164,,"2016-08-13 19:20:22"
465,1,159,40,"2016-08-13 19:21:29"
466,2,159,Medium,"2016-08-13 19:21:29"
467,4,159,3,"2016-08-13 19:21:29"
468,5,159,2,"2016-08-13 19:21:29"
469,6,159,3,"2016-08-13 19:21:29"
470,7,159,5,"2016-08-13 19:21:29"
471,12,159,,"2016-08-13 19:21:29"
472,1,161,"20 minutes","2016-08-13 19:22:43"
473,2,161,Medium,"2016-08-13 19:22:43"
474,4,161,5,"2016-08-13 19:22:43"
475,5,161,1,"2016-08-13 19:22:43"
476,6,161,5,"2016-08-13 19:22:43"
477,7,161,1,"2016-08-13 19:22:43"
478,8,161,5,"2016-08-13 19:22:43"
479,9,161,5,"2016-08-13 19:22:43"
480,12,161,"I loved it! It had me thinking but I like the challenge!!","2016-08-13 19:22:43"
481,1,165,15,"2016-08-13 19:24:39"
482,2,165,Medium,"2016-08-13 19:24:39"
483,4,165,1,"2016-08-13 19:24:39"
484,5,165,1,"2016-08-13 19:24:39"
485,6,165,1,"2016-08-13 19:24:39"
486,7,165,1,"2016-08-13 19:24:39"
487,10,165,1,"2016-08-13 19:24:39"
488,11,165,1,"2016-08-13 19:24:39"
489,12,165,,"2016-08-13 19:24:39"
490,1,152,1:45,"2016-08-13 19:51:06"
491,2,152,Medium,"2016-08-13 19:51:06"
492,4,152,5,"2016-08-13 19:51:06"
493,5,152,1,"2016-08-13 19:51:06"
494,6,152,4,"2016-08-13 19:51:06"
495,7,152,1,"2016-08-13 19:51:06"
496,12,152,,"2016-08-13 19:51:06"
497,1,166,01:30,"2016-08-13 19:51:46"
498,2,166,Medium,"2016-08-13 19:51:46"
499,4,166,4,"2016-08-13 19:51:46"
500,5,166,2,"2016-08-13 19:51:46"
501,6,166,2,"2016-08-13 19:51:46"
502,7,166,5,"2016-08-13 19:51:46"
503,8,166,1,"2016-08-13 19:51:46"
504,9,166,3,"2016-08-13 19:51:46"
505,12,166,,"2016-08-13 19:51:46"
506,1,140,"30 minutes","2016-08-13 20:42:04"
507,2,140,Medium,"2016-08-13 20:42:04"
508,4,140,5,"2016-08-13 20:42:04"
509,5,140,1,"2016-08-13 20:42:04"
510,6,140,4,"2016-08-13 20:42:04"
511,7,140,3,"2016-08-13 20:42:04"
512,8,140,4,"2016-08-13 20:42:04"
513,9,140,4,"2016-08-13 20:42:04"
514,12,140,"Great survey. I enjoyed it, thanks!","2016-08-13 20:42:04"
515,1,170,00:25,"2016-08-13 20:55:26"
